STATION,NAME,DATE,AWND,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USS0005K05S,"LOVELAND BASIN, CO US",2015,,0,242,,-9,70,,1,70,10878,31.45,,35.2,44.9,25.6,,,,
USS0005K05S,"LOVELAND BASIN, CO US",2016,,0,253,,-11,82,,1.1,71,11157,30.72,,34.9,44.6,25.2,,,,
USS0005K05S,"LOVELAND BASIN, CO US",2017,,0,262,,-15,73,,1.5,72,10765,36.33,,35.6,45.1,26,,,,
USS0005K05S,"LOVELAND BASIN, CO US",2018,,0,237,,-12,77,,1,73,10670,27.9,,34.6,44.5,24.7,,,,
USS0005K05S,"LOVELAND BASIN, CO US",2019,,0,262,,-10,86,,1.2,72,11602,32.19,,33.5,43.4,23.5,,,,
USS0005K05S,"LOVELAND BASIN, CO US",2020,,0,249,,-13,74,,1,73,11275,25.6,,34.7,44.8,24.5,,,,
USC00059213,"WOODROW 6 NNE, CO US",2015,,655,58,15,-28,6,5,2.53,102,6445,24.31,36.2,49.4,65.5,33.3,,,,
USC00059213,"WOODROW 6 NNE, CO US",2016,,707,48,11,-23,7,8,1.97,103,6437,15.22,41.9,49.4,66.9,31.9,,,,
USC00059213,"WOODROW 6 NNE, CO US",2017,,689,13,4,-29,4,3.9,0.86,105,6122,14.05,11.3,49.9,67.3,32.5,,,,
USC00059213,"WOODROW 6 NNE, CO US",2018,,786,22,9,-14,4,4,3.06,104,6469,16.73,20.9,48.8,66.1,31.5,,,,
USC00059213,"WOODROW 6 NNE, CO US",2019,,783,47,18,-22,6,5,2.04,105,7186,16.05,50.8,47,63.5,30.5,,,,
USC00059213,"WOODROW 6 NNE, CO US",2020,,938,22,11,-11,7,3.8,0.87,102,6728,9.81,31.1,49.3,67.1,31.6,,,,
USC00054603,"KIT CARSON, CO US",2015,,1049,23,7,-6,5,5.3,1.61,104,5495,18.54,19.3,53.3,70,36.6,,,,
USC00054603,"KIT CARSON, CO US",2016,,,,,,,,,,,,,,,,,,,
USC00054603,"KIT CARSON, CO US",2019,,,,,,,,,,,,,,,,,,,
USC00054603,"KIT CARSON, CO US",2020,,,,,,,,,,,,,,,,,,,
US1COLA0033,"AGUILAR 7.2 WSW, CO US",2015,,,,,,,,2.25,,,25.57,,,,,,,,
US1COLA0033,"AGUILAR 7.2 WSW, CO US",2016,,,,,,,,1.23,,,19.66,,,,,,,,
US1COLA0033,"AGUILAR 7.2 WSW, CO US",2017,,,,,,,,1.5,,,28.74,,,,,,,,
US1COLA0033,"AGUILAR 7.2 WSW, CO US",2018,,,,,,,,1.25,,,14.87,,,,,,,,
US1COLA0033,"AGUILAR 7.2 WSW, CO US",2019,,,70,26,,12,12,1.39,,,18.02,110,,,,,,,
US1COLA0033,"AGUILAR 7.2 WSW, CO US",2020,,,43,18,,16,15.5,0.98,,,11.52,74.4,,,,,,,
USC00057510,"SEDALIA 4 SSE, CO US",2018,,,49,13,,7,7,1.33,,,15.16,35.7,,,,,,,
USC00057510,"SEDALIA 4 SSE, CO US",2020,,,,22,,,8,1.08,,,11.02,62.5,,,,,,,
USC00053038,"FORT MORGAN, CO US",2015,,,,,,,,,,,,,,,,,,,
USC00053038,"FORT MORGAN, CO US",2017,,960,8,4,-18,4,3.8,1.14,103,,12.48,9.2,52.9,67.5,38.3,,,,
USC00053038,"FORT MORGAN, CO US",2019,,893,60,16,-17,11,10.3,2.3,102,,16.28,52.9,48.2,63.3,33.1,,,,
USC00053038,"FORT MORGAN, CO US",2020,,,,,,,,,,,,,,,,,,,
US1COLP0098,"BAYFIELD 6.2 N, CO US",2015,,,78,27,,18,18.9,1.45,,,29.33,118.7,,,,,,,
US1COLP0098,"BAYFIELD 6.2 N, CO US",2016,,,75,15,,26,8.8,2.36,,,22.37,62.2,,,,,,,
US1COLP0098,"BAYFIELD 6.2 N, CO US",2017,,,65,23,,24,8.5,0.82,,,17.72,76.9,,,,,,,
US1COLP0098,"BAYFIELD 6.2 N, CO US",2018,,,42,18,,8,9.5,0.91,,,15.21,56.1,,,,,,,
US1COLP0098,"BAYFIELD 6.2 N, CO US",2019,,,126,45,,39,15.3,1.42,,,24.13,182.1,,,,,,,
US1COLP0098,"BAYFIELD 6.2 N, CO US",2020,,,79,17,,13,11,1.14,,,11.71,55.3,,,,,,,
USS0007K01S,"NORTH LOST TRAIL, CO US",2015,,0,202,,-2,55,,1.4,79,8306,32.33,,41.8,52.3,31.3,,,,
USS0007K01S,"NORTH LOST TRAIL, CO US",2016,,3,187,,-4,57,,2.1,82,8712,27.5,,41.6,52.3,30.9,,,,
USS0007K01S,"NORTH LOST TRAIL, CO US",2017,,1,194,,-8,69,,1.5,81,8360,29.54,,42.6,53.4,31.9,,,,
USS0007K01S,"NORTH LOST TRAIL, CO US",2018,,8,208,,-1,44,,1.2,81,8083,25.33,,41.8,52.9,30.7,,,,
USS0007K01S,"NORTH LOST TRAIL, CO US",2019,,0,229,,-4,72,,1.3,80,9084,35.94,,40.2,51,29.3,,,,
USS0007K01S,"NORTH LOST TRAIL, CO US",2020,,15,206,,-9,55,,1,83,8688,23.76,,41.9,53.4,30.5,,,,
