"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USR0000CNUC","NUCLA COLORADO, CO US","2015",,"816",,,"-2",,,,"99","4948",,,"53.1","66.6","39.7",,,,,,,
"USR0000CNUC","NUCLA COLORADO, CO US","2016",,"839",,,"0",,,,"101","5453",,,"52.9","66.7","39.1",,,,,,,
"USR0000CNUC","NUCLA COLORADO, CO US","2017",,"1039",,,"-1",,,,"100","4817",,,"54.8","69.0","40.7",,,,,,,
"USR0000CNUC","NUCLA COLORADO, CO US","2018",,"1229",,,"8",,,,"100","4721",,,"54.0","67.9","40.1",,,,,,,
"USR0000CNUC","NUCLA COLORADO, CO US","2019",,"972",,,"-1",,,,"98","5864",,,"51.6","65.0","38.3",,,,,,,
"USR0000CNUC","NUCLA COLORADO, CO US","2020",,"1188",,,"3",,,,"101","5401",,,"53.7","68.2","39.2",,,,,,,
"USC00055934","NEW RAYMER 21 N, CO US","2015",,"479","       56","        14","-7","10","6.5","2.56","95","6393","25.13","36.8","48.8","62.8","34.8",,,,,,,
"USC00055934","NEW RAYMER 21 N, CO US","2016",,"581","       66","        13","-19","13","10.0","0.93","99","6495","17.00","45.9","49.0","63.8","34.1",,,,,,,
"USC00055934","NEW RAYMER 21 N, CO US","2017",,"543","       48","         9","-16","6","6.0","1.12","102","6312","17.46","30.1","49.1","64.0","34.2",,,,,,,
"USC00055934","NEW RAYMER 21 N, CO US","2018",,,,,,,,,,"6593",,,,,,,,,,,,
"USC00055934","NEW RAYMER 21 N, CO US","2019",,"429","       60","        20","-20","8","7.0","1.46","98",,"23.15","56.2","45.4","59.4","31.5",,,,,,,
"USC00055934","NEW RAYMER 21 N, CO US","2020",,"724","       42","        16","-2","7","6.0","2.03","102","6921","14.08","39.2","48.4","64.1","32.8",,,,,,,
"US1COGN0018","CRESTED BUTTE 6.2 N, CO US","2015",,,"      192","        77",,"59","19.0","1.01",,,"38.52","340.7",,,,,,,,,,
"US1COGN0018","CRESTED BUTTE 6.2 N, CO US","2016",,,"      188","        75",,"62","16.0","1.14",,,"30.29","311.8",,,,,,,,,,
"US1COGN0018","CRESTED BUTTE 6.2 N, CO US","2017",,,"      208","        71",,"91","20.0","2.10",,,"33.34","333.8",,,,,,,,,,
"US1COGN0018","CRESTED BUTTE 6.2 N, CO US","2018",,,"      198","        64",,"41","11.0","1.32",,,"27.58","232.2",,,,,,,,,,
"US1COGN0018","CRESTED BUTTE 6.2 N, CO US","2019",,,"      218","        90",,"94","14.5","1.62",,,"36.68","377.4",,,,,,,,,,
"US1COGN0018","CRESTED BUTTE 6.2 N, CO US","2020",,,"      190","        67",,"56","12.0","0.97",,,"25.61","245.4",,,,,,,,,,
"US1COLR0500","LOV 3.8 S, CO US","2017",,,,,,,,"2.35",,,"17.96",,,,,,,,,,,
"US1COLR0500","LOV 3.8 S, CO US","2019",,,,,,,,"1.40",,,"17.06",,,,,,,,,,,
"US1COLR0500","LOV 3.8 S, CO US","2020",,,,,,,,"1.18",,,"12.32",,,,,,,,,,,
"US1COJF0081","CONIFER 3.9 SE, CO US","2015",,,,,,,,,,,"30.55",,,,,,,,,,,
"US1COJF0081","CONIFER 3.9 SE, CO US","2016",,,,,,,,"2.10",,,"20.37",,,,,,,,,,,
"US1COJF0081","CONIFER 3.9 SE, CO US","2018",,,,,,,,"1.02",,,"16.07",,,,,,,,,,,
"US1COJF0081","CONIFER 3.9 SE, CO US","2019",,,,,,,,"1.52",,,"21.17",,,,,,,,,,,
"US1COJF0081","CONIFER 3.9 SE, CO US","2020",,,,,,,,"1.11",,,"14.46",,,,,,,,,,,
"USC00054603","KIT CARSON, CO US","2015",,"1049","       23","         7","-6","5","5.3","1.61","104","5495","18.54","19.3","53.3","70.0","36.6",,,,,,,
"USC00054603","KIT CARSON, CO US","2016",,,,,,,,,,,,,,,,,,,,,,
"USC00054603","KIT CARSON, CO US","2019",,,,,,,,,,,,,,,,,,,,,,
"USC00054603","KIT CARSON, CO US","2020",,,,,,,,,,,,,,,,,,,,,,
"US1COJF0240","ARVADA 3.8 W, CO US","2015",,,,,,,,"1.56",,,"26.07",,,,,,,,,,,
"US1COJF0240","ARVADA 3.8 W, CO US","2016",,,,,,,,"1.25",,,"13.70",,,,,,,,,,,
"US1COJF0240","ARVADA 3.8 W, CO US","2017",,,,,,,,"1.28",,,"17.74",,,,,,,,,,,
"US1COJF0240","ARVADA 3.8 W, CO US","2018",,,,,,,,"1.14",,,"12.06",,,,,,,,,,,
"US1COJF0240","ARVADA 3.8 W, CO US","2019",,,,,,,,"0.97",,,"17.43",,,,,,,,,,,
"US1COJF0240","ARVADA 3.8 W, CO US","2020",,,,,,,,"1.14",,,"12.02",,,,,,,,,,,
"USC00053116","FRASER, CO US","2015",,"0","      143","        35","-27","26","13.0","0.69","83",,"13.81","96.1","37.4","54.1","20.6",,,,,,,
"USC00053116","FRASER, CO US","2017",,"0","      124","        38","-34","30","11.5","1.15","84",,"16.74","119.1","38.4","55.3","21.4",,,,,,,
